customer_id,age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,churned
5b9fc53d-960a-475a-b189-b54d9c7564a6,35,Female,Premium,8.44,47,Asia,Laptop,17.99,Crypto,4,0.18,Sci-Fi,1
44c431b4-0f1a-4403-b701-98ab0f23f260,70,Other,Standard,4.75,54,Europe,Mobile,13.99,Gift Card,3,0.09,Romance,1
5bdfbdcf-ab7b-41da-b1d5-51f819eb66dc,52,Female,Basic,22.21,54,Oceania,TV,8.99,Credit Card,1,0.4,Romance,1
a6439c47-77e6-4c51-b834-0f66b0f1a239,48,Female,Premium,9.65,60,Oceania,Laptop,17.99,Gift Card,4,0.16,Drama,1
9ab55bb5-1957-46a6-8472-d26b2fda624a,47,Other,Basic,13.22,8,North America,Mobile,8.99,Crypto,4,1.47,Action,0
1fda0f85-9ca8-4a37-b594-0577cc40d107,40,Other,Basic,0.86,5,Oceania,Tablet,8.99,Debit Card,2,0.14,Documentary,1
842cacde-7763-4505-bef1-538dedd13be7,27,Other,Premium,79.17,12,South America,Tablet,17.99,Debit Card,2,6.09,Drama,0
cde28795-9a83-4b21-85a4-2fdd628430a5,33,Male,Premium,12.0,18,Africa,Laptop,17.99,Debit Card,3,0.63,Comedy,0
91b02759-584d-4f29-b1a4-5818311708d1,54,Male,Standard,15.65,53,Oceania,Tablet,13.99,Gift Card,2,0.29,Sci-Fi,1
7116a96f-6d6e-46d3-8176-93513053d545,31,Male,Premium,3.81,39,Asia,TV,17.99,Crypto,1,0.1,Documentary,1
7d314499-d7e9-4619-a054-c17d976d3aa4,21,Female,Standard,13.77,45,South America,Laptop,13.99,PayPal,1,0.3,Horror,1
37eff54d-aa2b-4cc4-8aba-ea192afc459b,40,Male,Basic,9.07,11,Asia,Mobile,8.99,Credit Card,1,0.76,Horror,0
ee277a8f-6580-47ff-b15d-bd4c472f7c33,40,Female,Standard,0.68,37,Africa,Laptop,13.99,Debit Card,3,0.02,Horror,1
e12018ab-4d36-4bbe-bd5a-3e7d2c14b5bb,52,Female,Basic,34.13,32,South America,Desktop,8.99,Crypto,3,1.03,Comedy,0
322eef98-5dfd-41d1-b4f6-41f20f253632,58,Female,Premium,17.93,7,Europe,Laptop,17.99,Credit Card,1,2.24,Documentary,0
d3d8842a-961b-4951-ad19-f2ce40f0bd6c,59,Female,Standard,2.28,38,Africa,Desktop,13.99,PayPal,3,0.06,Drama,1
8511ae79-b03f-432b-bac6-1933649f2b24,56,Male,Premium,24.37,26,Europe,Laptop,17.99,PayPal,3,0.9,Romance,0
ce0b32de-26ff-4f3d-bd27-9c85e6f2bf26,62,Female,Basic,6.12,51,Africa,Tablet,8.99,Gift Card,2,0.12,Sci-Fi,1
6bb29066-b9f3-4312-b7ed-07c422adda79,31,Male,Premium,12.0,2,Europe,Mobile,17.99,Credit Card,2,4.0,Comedy,0
96e05214-21b3-4450-ab7c-2722a75e519d,39,Female,Basic,10.64,57,Oceania,Laptop,8.99,Debit Card,1,0.18,Action,1
075f3920-d7be-49de-b9a8-04ae797d2806,43,Male,Basic,0.53,22,Europe,TV,8.99,PayPal,1,0.02,Romance,1
2146a842-093c-446d-a78d-86b66080475f,20,Other,Standard,5.85,15,Europe,Laptop,13.99,Crypto,2,0.37,Documentary,0
766eaa1d-56f8-441e-a9f0-e8626a5f4d40,58,Other,Premium,1.05,58,South America,Laptop,17.99,Crypto,1,0.02,Comedy,1
0b3ee497-e62e-42de-907d-169ab8c05e41,42,Male,Premium,2.81,32,Europe,Desktop,17.99,Gift Card,2,0.09,Comedy,1
ed2e6d14-1ec8-4f3a-8a09-10311a97e7db,27,Other,Premium,4.02,41,South America,Mobile,17.99,Credit Card,1,0.1,Documentary,1
0986188b-fb15-47a9-afc2-8a22c131768f,37,Female,Basic,25.43,5,Africa,Desktop,8.99,Gift Card,4,4.24,Horror,0
75994c2a-9f9a-4701-b51d-ad8b7e3787cb,65,Male,Standard,15.33,17,North America,Desktop,13.99,Gift Card,1,0.85,Sci-Fi,0
